ID,Origin_LONG,Origin_LAT,Destination_LONG,Destination_LAT,DIST,DUR,,,,,,
232,-43.886362,-19.623762,-43.874361,-19.65039,4250,427,,,,,4249.62,426.72
233,-43.886362,-19.623762,-43.874658,-19.654504,4568,434,,,,,4568.33,433.73
234,-43.886362,-19.623762,-43.890344,-19.646015,3733,430,,,,,3732.5,430.45
235,-43.886362,-19.623762,-43.875715,-19.666802,6036,573,,,,,6036.16,572.89
236,-43.886362,-19.623762,-43.901752,-19.649969,5686,642,,,,,5685.67,641.52
237,-43.886362,-19.623762,-43.90361,-19.647461,4627,450,,,,,4626.9,450.09
238,-43.886362,-19.623762,-43.90646,-19.649462,6205,523,,,,,6205.22,523.44
239,-43.886362,-19.623762,-43.931177,-19.664378,10563,796,,,,,10563.42,796.19
240,-43.886362,-19.623762,-43.908711,-19.648155,4941,473,,,,,4940.65,473.34
241,-43.886362,-19.623762,-43.916438,-19.638972,4750,422,,,,,4749.7,421.82
242,-43.886362,-19.623762,-43.908495,-19.63815,3792,373,,,,,3792.27,372.68
243,-43.886362,-19.623762,-43.901174,-19.634979,2857,280,,,,,2857.02,279.52
244,-43.886362,-19.623762,-43.89168,-19.628555,1496,175,,,,,1496.3,174.77
245,-43.886362,-19.623762,-43.90219,-19.626891,2501,285,,,,,2501.04,285.22
246,-43.886362,-19.623762,-43.903074,-19.625283,2587,295,,,,,2586.69,294.5
247,-43.886362,-19.623762,-43.909308,-19.606419,4132,433,,,,,4131.69,432.97
248,-43.886362,-19.623762,-43.910928,-19.605063,4379,452,,,,,4379.15,452.21
249,-43.886362,-19.623762,-43.905764,-19.596147,5652,570,,,,,5651.98,569.71
250,-43.886362,-19.623762,-43.904896,-19.601687,3695,364,,,,,3695.07,364.25
251,-43.886362,-19.623762,-43.835316,-19.647693,8599,859,,,,,8599.48,858.61
252,-43.886362,-19.623762,-43.928335,-19.670593,12186,862,,,,,12185.57,862.35
253,-43.886362,-19.623762,-43.935533,-19.660824,11154,866,,,,,11154.21,866.29
254,-43.886362,-19.623762,-43.904992,-19.591055,5827,618,,,,,5827.12,617.58
255,-43.886362,-19.623762,-43.896709,-19.6241,1641,196,,,,,1640.51,196.06
256,-43.886362,-19.623762,-43.896466,-19.626741,1725,199,,,,,1725.08,199.19
257,-43.886362,-19.623762,-43.889997,-19.625367,526,102,,,,,526.08,101.57
258,-43.886362,-19.623762,-43.891097,-19.62513,694,149,,,,,693.54,148.9
259,-43.886362,-19.623762,-43.880089,-19.630027,2220,344,,,,,2219.91,343.5
260,-43.886362,-19.623762,-43.884944,-19.635291,2076,237,,,,,2075.95,237.22
261,-43.886362,-19.623762,-43.884016,-19.641878,2641,292,,,,,2640.63,291.62
262,-43.886362,-19.623762,-43.881444,-19.64237,3238,333,,,,,3237.97,332.93
263,-43.886362,-19.623762,-43.879083,-19.642614,3222,324,,,,,3222.41,324.42
264,-43.886362,-19.623762,-43.879921,-19.640267,2903,310,,,,,2902.7,309.95
265,-43.886362,-19.623762,-43.873252,-19.640948,3829,392,,,,,3829.17,392.38
266,-43.886362,-19.623762,-43.876184,-19.642382,3343,359,,,,,3343.12,358.94
267,-43.886362,-19.623762,-43.86873,-19.648669,4915,514,,,,,4915.37,513.93
268,-43.886362,-19.623762,-43.873966,-19.648314,4079,394,,,,,4079.16,394.16
269,-43.886362,-19.623762,-43.876366,-19.648344,3909,404,,,,,3909.02,403.85
270,-43.886362,-19.623762,-43.878041,-19.645779,3503,364,,,,,3503.48,364.26
271,-43.886362,-19.623762,-43.880367,-19.645593,3388,333,,,,,3388.19,332.74
272,-43.886362,-19.623762,-43.882307,-19.646324,3188,315,,,,,3187.97,314.54
273,-43.886362,-19.623762,-43.864303,-19.65104,5271,513,,,,,5270.52,513.29
274,-43.886362,-19.623762,-43.86371,-19.6557,0,0,,,,,0,0
275,-43.886362,-19.623762,-43.870096,-19.65158,0,0,,,,,0,0
276,-43.886362,-19.623762,-43.870192,-19.656439,0,0,,,,,0,0
277,-43.886362,-19.623762,-43.874499,-19.658941,0,0,,,,,0,0
278,-43.886362,-19.623762,-43.866814,-19.665944,0,0,,,,,0,0
279,-43.886362,-19.623762,-43.879443,-19.658127,0,0,,,,,0,0
280,-43.886362,-19.623762,-43.880927,-19.656717,0,0,,,,,0,0
281,-43.886362,-19.623762,-43.888359,-19.658404,0,0,,,,,0,0
282,-43.886362,-19.623762,-43.88647,-19.655111,0,0,,,,,0,0
