Region	Pop	Flow
	L[313760105000178]*	9
	L[SHC1]	34
	L[SHC1]*	1
M[313760105000180]	373
	L[313760105000178]	299
	L[313760105000178]*	14
	L[SHC1]	55
	L[SHC1]*	2
M[313760105000181]	0
M[313760105000182]	507
	L[313760105000139]	482
	L[313760105000139]*	24
M[313760105000183]	614
	L[313760105000139]	584
	L[313760105000139]*	29
M[313760105000184]	404
	L[313760105000150]	384
	L[313760105000150]*	19
M[313760105000185]	388
	L[313760105000150]	369
	L[313760105000150]*	18
M[313760105000186]	252
	L[313760105000186]	252
M[313760105000187]	428
	L[313760105000186]	407
	L[313760105000186]*	20
M[313760105000188]	359
	L[313760105000259]	341
	L[313760105000259]*	17
M[313760105000189]	218
	L[313760105000259]	174
	L[313760105000259]*	8
	L[SHC1]	32
	L[SHC1]*	1
M[313760105000190]	293
	L[313760105000150]	279
	L[313760105000150]*	13
M[313760105000191]	360
	L[313760105000150]	342
	L[313760105000150]*	17
M[313760105000192]	92
	L[313760105000150]	87
	L[313760105000150]*	4
M[313760105000193]	438
	L[313760105000150]	417
	L[313760105000150]*	20
M[313760105000194]	8
	L[313760105000150]	7
	L[313760105000150]*	0
M[313760105000195]	79
	L[313760105000255]	75
	L[313760105000255]*	3
M[313760105000196]	131
	L[313760105000259]	124
	L[313760105000259]*	6
M[313760105000198]	262
	L[313760105000201]	249
	L[313760105000201]*	12
M[313760105000199]	413
	L[313760105000201]	393
	L[313760105000201]*	19
M[313760105000200]	250
	L[313760105000201]	238
	L[313760105000201]*	11
M[313760105000201]	293
	L[313760105000201]	293
M[313760105000202]	372
	L[313760105000201]	354
	L[313760105000201]*	17
M[313760105000203]	369
	L[313760105000125]	277
	L[313760105000125]*	13
	L[SHC1]	55
	L[SHC1]*	2
	L[THC1]	18
	L[THC1]*	0
M[313760105000204]	311
	L[313760105000125]	233
	L[313760105000125]*	11
	L[SHC1]	46
	L[SHC1]*	2
	L[THC1]	15
	L[THC1]*	0
M[313760105000205]	142
	L[313760105000235]	113
	L[313760105000235]*	5
	L[SHC1]	21
	L[SHC1]*	1
M[313760105000206]	109
	L[313760105000235]	87
	L[313760105000235]*	4
	L[SHC1]	16
	L[SHC1]*	0
	L[THC1]*	0
M[313760105000207]	390
	L[313760105000122]	371
	L[313760105000122]*	18
M[313760105000208]	405
	L[313760105000122]	385
	L[313760105000122]*	19
M[313760105000209]	619
	L[313760105000139]	20
	L[313760105000150]	568
	L[313760105000139]*	1
	L[313760105000150]*	28
M[313760105000210]	48
	L[313760115000014]	45
	L[313760115000014]*	2
M[313760105000211]	240
	L[313760105000239]	228
	L[313760105000239]*	11
M[313760105000212]	154
	L[313760105000076]	146
	L[313760105000076]*	7
M[313760105000213]	321
	L[313760105000201]	241
	L[313760105000201]*	12
	L[SHC1]	48
	L[SHC1]*	2
	L[THC1]	16
	L[THC1]*	0
M[313760105000214]	371
	L[313760105000201]	279
	L[313760105000201]*	13
	L[SHC1]	55
	L[SHC1]*	2
	L[THC1]	18
	L[THC1]*	0
M[313760105000215]	189
	L[313760105000285]	180
	L[313760105000285]*	9
M[313760105000216]	178
	L[313760105000285]	169
	L[313760105000285]*	8
M[313760105000217]	369
	L[313760105000178]	342
	L[313760105000178]*	17
	L[SHC1]	9
	L[SHC1]*	0
M[313760105000218]	561
	L[313760105000122]	534
	L[313760105000122]*	26
M[313760105000219]	562
	L[313760105000135]	535
	L[313760105000135]*	26
M[313760105000220]	287
	L[313760105000255]	273
	L[313760105000255]*	13
M[313760105000221]	2
	L[313760105000255]	1
	L[313760105000255]*	0
M[313760105000222]	164
	L[313760105000150]	156
	L[313760105000150]*	7
M[313760105000223]	443
	L[313760105000150]	421
	L[313760105000150]*	21
M[313760105000224]	179
	L[313760105000255]	143
	L[313760105000255]*	7
	L[SHC1]	26
	L[SHC1]*	1
M[313760105000225]	217
	L[313760105000255]	174
	L[313760105000255]*	8
	L[SHC1]	32
	L[SHC1]*	1
M[313760105000226]	399
	L[313760105000255]	380
	L[313760105000255]*	19
M[313760105000227]	546
	L[313760105000255]	520
	L[313760105000255]*	26
M[313760105000228]	288
	L[313760105000255]	274
	L[313760105000255]*	13
M[313760105000229]	578
	L[313760105000255]	490
	L[313760105000255]*	24
	L[SHC1]	59
	L[SHC1]*	2
M[313760105000230]	90
	L[313760105000285]	85
	L[313760105000285]*	4
M[313760105000231]	120
	L[313760105000285]	114
	L[313760105000285]*	5
M[313760105000232]	326
	L[313760105000178]	261
	L[313760105000178]*	13
	L[SHC1]	48
	L[SHC1]*	2
M[313760105000233]	121
	L[313760105000135]	115
	L[313760105000135]*	5
M[313760105000234]	388
	L[313760105000235]	311
	L[313760105000235]*	15
	L[SHC1]	58
	L[SHC1]*	2
M[313760105000235]	393
	L[313760105000235]	314
	L[SHC1]	58
	L[SHC1]*	2
	L[THC1]	15
	L[THC1]*	0
M[313760105000236]	309
	L[313760105000253]	294
	L[313760105000253]*	14
